Rank,Address,Balance
1,0x652DD05bBD9c7FBF6faF3aE0fCa0F75a1cb233C8,93595973.92521864
2,0x6E28a687e6200AEc6dD6644159Cf11E45CD2b95D,11178733.305885507
3,0xDb73ba19F072D0Fbc865781Ba468A9F8B77aD2C4,7887989.606324145
4,0x5B77BaA28e134444cA5cbb67e4E5691087ED28fA,7084910.826698462
5,0xAa93B438cB92e296981E5fE391B33e6233A18E5B,4169197.265367683
6,0x9DB42D3BDA1525963db3B2372C4DAABaf0491A53,4000000
7,0xcc40c2359B62Ce6ae501176da3198A0Cd170c407,3099682.445470936
8,0x535538c25498c9563e332B14ce4eF15Aabf4E00E,2086664.4403779698
9,0x308aE675CD94801dEA537B3a65a370595C70282c,1573941.6365737803
10,0x4fC80be06bb7c37deE889b1bf733df07dbbF9206,663563.8474737771
11,0x2B09197141080f9DCFD2976CFDcF4E2A7D9cF483,222795.69599668807
12,0x0b28433a5f39b70ef9E633c70f53DDC202261715,222539.72111337667
13,0x758AA93f52c239c7c81ef8Cb7A1EFA1Bb9FCa81b,187327.62046576358
14,0x9Fc82DE77Cf11ABE57D47DfCf6DdEEcfE92EBf16,101298.75705915333
15,0xBb0B05a53Ea1d53Ac6AE5F17f10F961f33cef035,70953.56258455149
16,0x7898b2cD69a4E0482e06617358d8787c229a1368,70185.16320727201
17,0x60F794C6928956E4D8E67247975a9Dc1fd8eB4AB,58018.80087256489
18,0x2178AB411F4d475922Ba10F49ee36350abffE618,52167.65134271227
19,0x59Ed72c7a3ABEf790022EC0Bb368fDDd17b99637,25909.350620966496
20,0x8B09F6C63E10d5Ce8b1230b1C95aa1f5F1082Cc6,24258.05651787824
21,0x796547778dB739DF1E9710Cdae9e96e40bd3D5F3,23851.575678410245
22,0xe18793cC7f72b7e7442108C66e0cCabE4F678112,21000
23,0x5Ac92590b0Ac5a60422EEB2d8d34F155C9fF417d,19073.754746966075
24,0x4aEc0306F224887002Fd10E9e2EA92E34b79FA5D,16399.515512217884
25,0xF4Beb03951610e81E2b5fe8BDA443935691De0E9,14175.601477731056
26,0x6317387264752Ca5bfB097DeBFB188A90866a4c4,13301.628755929165
27,0xEef8419fdbeC5D7Eb4321Aa7d40A2c821a8711E0,12625.62037249409
28,0xeAc265aB8351bF063BFe9B4c8844618aC93C2D0E,11180.344574580718
29,0x29608e6790F26c047c4C7320b756ace8b57481C0,10469.446527518998
30,0x928Ca4422d7461F5d84E60C683E9564e2A05ff2B,8947.36988291761
31,0xE7b27BD74F522afa05732ba82B2F46A38D4Be098,8827.929923072556
32,0x151e5062D509bF6fC1b5345aFa0e7397c9c82226,8589.217691119506
33,0x7B083271dF172787D2342280Efa5B92da7694fD3,7893.283747000326
34,0x2D0Ac7340DaA19c3cADA3a681eC56183d99AB29F,5583.7709212281325
35,0xbC0cBAaEbAF9ac317E48C78cf966D3d9d9cAE03a,4550.109880800734
36,0xc360bC38845E4Ba72202Cc1F26A739E50039A479,4253.844413003788
37,0x81f587d01a2e949Fb1d92D4d48c405f449ddeF06,4243.855901512642
38,0xc5E06403503B721B57EbB1577E3F2bb26932FE42,3665.9090146002745
39,0xf984e6f00F623546a94446ed6e00e6730FD6e042,3190.400231657966
40,0x9f90C1C2C1E0D1c0E520364706e199e3A4deEB55,2718.837091834994
41,0xBe352afF2Da7b6c6822Ba8a67404eBc634671de1,2701.665051893563
42,0x34223719D75CBC336b77cCd8af6B9342bd6Af1cB,2485.7773131279673
43,0x3B59ff27F2A913ec041265d6e0284d0A8CF044d9,2467.255406320686
44,0x61af6F647281d16D68006Afad94c78b3Bc4EB5Ce,2379.8953329900773
45,0x8fC4aFAA9B4C3cbE97F08e040e945411EFb18993,2244.4444443841235
46,0x98cBB49907FA5e2275D02579abD9f5B2b980B6F1,2243.630843328102
47,0x64562d247A59Fd77714925b1a93CbDA93Cb4D60d,2106.667486909225
48,0xA5a90b4389dfe6892FC58fcEB1E8CD6f86393766,2025
49,0x1d8b6fA722230153BE08C4Fa4Aa4B4c7cd01A95a,1835.1663611734643
50,0x01F12FB1d38156fc6D1c9a7d813BDe4b52D38E47,1569.5851930223546
51,0x752406F2a2D672B19A98c8B959319B052F3c4E91,1444.1249026141468
